target_A,L_nH,Ron,Roff,step,status,pass,peak_V,Ioff1_A,Ion2_A,Ioff2_A,name,error
30,5,1.0,4.0,500p,ok,False,114.13743118932568,30.01375579562937,29.75738783457407,33.402546568248844,I30_L5_on1_off4_500p_search,
30,5,1.5,3.5,500p,ok,False,109.7688659181117,30.005894635009447,29.743904041960487,33.38019840877156,I30_L5_on1.5_off3.5_500p_search,
30,5,2.0,3.0,500p,ok,True,91.66986624780145,29.998110732823232,29.730532904988515,33.35461543648474,I30_L5_on2_off3_500p_search,
30,5,2.0,3.0,250p,ok,False,106.6178721875037,29.998149349398584,29.730568684223268,33.35834472474406,I30_L5_on2_off3_250p_verification,
30,5,2.5,2.5,500p,ok,False,103.30637208204172,29.99038226042608,29.71723808240825,33.336058480192044,I30_L5_on2.5_off2.5_500p_search,
30,5,3.0,2.0,500p,ok,False,100.73034358170428,29.982698677310243,29.70406066187507,33.31374870697425,I30_L5_on3_off2_500p_search,
30,5,3.5,1.5,500p,ok,False,102.16570059792767,29.97504959978557,29.6910391879791,33.29148671683084,I30_L5_on3.5_off1.5_500p_search,
30,5,4.0,1.0,500p,ok,False,103.87776611255373,29.967433941058747,29.678142645535313,33.26887384406013,I30_L5_on4_off1_500p_search,
30,5,4.5,0.5,500p,ok,False,105.71994357950454,29.95988041697855,29.66555605756775,33.24652025894334,I30_L5_on4.5_off0.5_500p_search,
30,5,0.5,5.0,500p,ok,False,121.75884788876537,30.021692136391593,29.77661651933955,33.43061915813241,I30_L5_on0.5_off5_500p_search,
30,5,1.0,4.5,500p,ok,False,118.26413850942984,30.01375477660009,29.763036960244115,33.40820456527206,I30_L5_on1_off4.5_500p_search,
30,5,1.5,4.0,500p,ok,True,90.21200300414353,30.00589678744737,29.74955284136724,33.3824921496957,I30_L5_on1.5_off4_500p_search,
30,5,1.5,4.0,250p,ok,False,113.88666557530419,30.005940605087154,29.749586697014692,33.385761542208684,I30_L5_on1.5_off4_250p_verification,
30,5,2.0,3.5,500p,ok,True,90.5843281064238,29.99812469907533,29.736155379262996,33.360180996900006,I30_L5_on2_off3.5_500p_search,
30,5,2.0,3.5,250p,ok,False,109.425083527067,29.998149053738864,29.736191531112464,33.36388405196319,I30_L5_on2_off3.5_250p_verification,
30,5,2.5,3.0,500p,ok,False,107.38625557164832,29.990445640080107,29.72287072210411,33.34167241619934,I30_L5_on2.5_off3_500p_search,
30,5,3.0,2.5,500p,ok,False,103.9332680353184,29.98269906138746,29.70956908181995,33.31921602245663,I30_L5_on3_off2.5_500p_search,
